,layerClass,depthBegin,depthEnd,Till_perc,Organics_perc,Boulder_perc,Ice_perc,Clay_perc,Gravel/Cobbles_perc,Soil_perc,Sand_perc,Silt_perc,ExIceCont_perc_Mean,GWCWetBase_perc_Mean,Frozen_Mean,Gravel_perc_Mean,Sand_perc_Mean,Fines_perc_Mean,ExIceCont_perc_Std,GWCWetBase_perc_Std,Frozen_Std,Gravel_perc_Std,Sand_perc_Std,Fines_perc_Std,ExIceCont_perc_min,GWCWetBase_perc_min,Frozen_min,Gravel_perc_min,Sand_perc_min,Fines_perc_min,ExIceCont_perc_max,GWCWetBase_perc_max,Frozen_max,Gravel_perc_max,Sand_perc_max,Fines_perc_max,ExIceCont_perc_mode,GWCWetBase_perc_mode,Frozen_mode,Gravel_perc_mode,Sand_perc_mode,Fines_perc_mode
0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,12.195,15.075,0.0,7.5,60.0,27.5,12.195,9.825,0.0,2.5,20.0,22.5,0.0,5.25,0.0,5.0,40.0,5.0,24.39,24.9,0.0,10.0,80.0,50.0,12.195,15.074999999999996,0.0,7.5,60.0,27.5
1,1.0,1.1,3.7,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,13.726666666666667,0.3333333333333333,6.666666666666667,68.33333333333333,21.666666666666668,0.0,3.345368274030363,0.4714045207910317,2.357022603955158,2.357022603955158,2.3570226039551585,0.0,9.43,0.0,5.0,65.0,20.0,0.0,17.59,1.0,10.0,70.0,25.0,0.0,14.16,0.0,5.0,70.0,20.0
2,0.0,3.8000000000000003,11.9,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,18.099999999999998,0.8888888888888888,5.555555555555555,72.22222222222223,18.333333333333332,0.0,8.497943542083839,0.3142696805273545,4.37444881889545,3.424674446093875,4.714045207910316,0.0,13.29,0.0,0.0,65.0,5.0,0.0,41.91,1.0,15.0,75.0,20.0,0.0,-0.8999999999999986,1.6666666666666665,1.6666666666666643,76.66666666666669,30.0
